slug,title,description,youtubeId,category,tags,releaseDate,durationMinutes,featured
perjalanan-generasi,Perjalanan Generasi 100 Tahun Gontor,Dokumenter yang menelusuri perjalanan enam tahun para santri Generasi 100 Tahun Pondok Modern Darussalam Gontor — dari hari pertama masuk hingga wisuda. Sebuah kesaksian tentang perjuangan membentuk karakter yang kuat di bawah cahaya iman.,L-iZ2zrX9Gw,Dokumenter,Dokumenter|Santri|Gontor|Inspirasi,2026-03-01,45,true
bahtiar-kebersamaan,Bahtiar — Tentang Kebersamaan,Bahtiar adalah santri pendiam yang merasa tidak menemukan arah di pondok. Dalam pencariannya ia memperhatikan kehidupan sehari-hari di sekitarnya — dan menemukan bahwa jawaban atas kekosongan hatinya telah ada sejak lama di antara saudara-saudaranya. Film pendek terbaik Festival Film Santri 100 Tahun Gontor.,tcURqVlk7ZE,Film Pendek,Drama|Kebersamaan|Santri|Festival,2025-10-13,18,true
lentera-peradaban,Lentera Peradaban — Nasyid Gontor,Persembahan nasyid monumental dari Panggung Gembira par excellence 6100 dalam rangka Peringatan 100 Tahun Pondok Modern Darussalam Gontor. Lantunan tentang cahaya ilmu yang menerangi peradaban dari Darussalam untuk dunia.,qZKwZ-q8sM0,Nasyid,Nasyid|Live Performance|100 Tahun Gontor,2025-09-30,12,true
ikhlas-film-pendek,Ikhlas — Film Pendek Inspirasi,Sebuah film pendek inspirasi yang menunjukkan kepada kita arti keikhlasan dan pengorbanan sejati. Kisah yang mengingatkan bahwa setiap amal yang dilakukan tanpa pamrih kepada Allah adalah benih kebaikan yang tidak pernah sia-sia.,bQOSGYJbDjE,Film Pendek,Inspirasi|Keikhlasan|Islam|Drama,2018-03-24,15,false
ijhad-film-pendek,Ijhad — Semangat Tanpa Batas,Kisah santri bernama Rama yang dikenal selalu belajar di mana pun dan kapan pun. Sebuah potret nyata tentang etos belajar di Pondok Modern Darussalam Gontor dan bagaimana tekad yang kuat mengubah kebiasaan menjadi prestasi.,6fuXWca7Yxg,Film Pendek,Semangat|Belajar|Santri|Motivasi,2023-09-01,20,false
alquran-merindukanmu,Al-Qur'an Merindukanmu,Sadarkah kita betapa membaca Al-Qur'an adalah kebutuhan terdalam kita? Film pendek inspirasi dari Gontor TV yang mengajak perenungan tentang hubungan kita dengan kalam Allah — dan kerinduan Al-Qur'an kepada hati-hati yang lalai.,X-FDR685rPQ,Film Pendek,Al-Qur'an|Inspirasi|Islam|Refleksi,2022-09-19,10,false
nasyid-rindu-sahabat,Rindu Sahabat — Nasyid Gontor,Nasyid penuh haru dari Gontor Kampus 4 yang melantunkan kerinduan kepada sahabat-sahabat seperjuangan di pondok. Persahabatan yang terjalin dalam susah dan senang menjadi ikatan yang melampaui jarak dan waktu.,gm6fRA8Bm3M,Nasyid,Nasyid|Persahabatan|Santri|Haru,2022-05-07,6,false
hadroh-panggung-gembira,Hadroh Gontor — Panggung Gembira 6100,Gema Hadroh par excellence dari Panggung Gembira 100 Tahun Gontor — pertunjukan seni musik bernuansa Islami yang menampilkan lantunan shalawat Nabi dengan rebana yang berpadu harmoni dan gerakan yang memukau ribuan penonton.,pKWLy8oM4mE,Pertunjukan Seni,Hadroh|Shalawat|Live Performance|Seni Islam,2025-09-19,14,false
highlight-panggung-gembira-698,Highlight Panggung Gembira 698 — Gontor Kampus 2,Highlight kemegahan Panggung Gembira Integrated Generation Gontor Kampus 2 yang bertepatan dengan Peringatan 100 Tahun Pondok Modern Darussalam Gontor. Sebuah persembahan spektakuler yang memadukan seni budaya Islam dan semangat generasi muda.,RBFWWLY8p0M,Highlight,Highlight|Panggung Gembira|100 Tahun Gontor|Seni,2023-09-20,22,false
nasyid-allah-bersamamu,Allah Bersamamu — Nasyid Gontor,Salah satu nasyid Gontor paling dicintai yang kata netizen menyentuh hati dan membuat merinding di setiap liriknya. Sebuah peneguhan bahwa dalam setiap langkah perjuangan seorang hamba yang ikhlas Allah senantiasa hadir menyertai.,_vJBuzzmSm0,Nasyid,Nasyid|Motivasi|Islam|Haru,2016-01-30,5,false
